"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1590554461","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554463","70","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554465","140","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554467","211","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554470","283","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554472","351","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554474","420","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554476","487","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554479","546","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554481","616","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554483","687","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554486","754","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554488","825","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554490","894","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1590554492","963","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31121,31230,31121,31338,145594
"1590554495","1000","","Aggregated",0.00,0.00,32000,32000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,18,0,32000,32134,31121,33079,145594
"1590554497","1000","","Aggregated",1.50,0.00,32000,32000,33000,33000,33000,35000,35000,35000,35000,35000,35000,35000,19,0,32000,32274,31121,34804,145594
"1590554499","1000","","Aggregated",1.80,0.00,33000,36000,36000,36000,37000,37000,37000,37000,37000,37000,37000,37000,30,0,33000,33785,31121,36919,145594
"1590554502","1000","","Aggregated",3.00,0.00,36000,37000,38000,38000,39000,39000,39000,39000,39000,39000,39000,39000,44,3,35000,33419,10309,39403,135678
"1590554504","1000","","Aggregated",4.40,0.30,38000,39000,40000,40000,41000,41000,41000,41000,41000,41000,41000,41000,56,3,36000,34901,10309,41349,137803
"1590554506","1000","","Aggregated",4.90,0.30,38000,40000,41000,41000,42000,43000,43000,43000,43000,43000,43000,43000,83,18,36000,33112,10309,42955,114055
"1590554508","1000","","Aggregated",6.50,1.80,39000,40000,42000,42000,44000,45000,45000,45000,45000,45000,45000,45000,112,37,35000,32601,10309,44916,97550
"1590554511","1000","","Aggregated",8.50,3.70,30000,41000,42000,43000,45000,46000,47000,47000,47000,47000,47000,47000,126,46,33000,32412,10309,47095,92501
"1590554513","1000","","Aggregated",8.60,4.30,30000,43000,45000,45000,48000,48000,49000,49000,49000,49000,49000,49000,139,48,36000,33609,10309,49009,95374
"1590554515","1000","","Aggregated",9.00,4.50,44000,46000,48000,48000,50000,50000,50000,51000,51000,51000,51000,51000,146,48,36000,34391,10309,50641,97782
"1590554518","1000","","Aggregated",8.50,4.50,47000,48000,49000,49000,50000,50000,51000,51000,51000,51000,51000,51000,161,63,36000,34494,10309,50641,88687
"1590554520","1000","","Aggregated",7.30,4.30,46000,48000,49000,49000,50000,50000,51000,51000,51000,51000,51000,51000,166,68,36000,34643,10309,50641,86021
"1590554522","1000","","Aggregated",4.30,2.20,44000,45000,46000,50000,50000,53000,55000,55000,55000,55000,55000,55000,183,85,37000,35303,10309,54853,78045
"1590554524","1000","","Aggregated",5.40,3.60,35000,44000,45000,45000,46000,53000,55000,55000,55000,55000,55000,55000,195,97,36000,35301,10309,54853,73252
"1590554527","1000","","Aggregated",5.20,4.90,35000,44000,45000,46000,55000,57000,62000,62000,62000,62000,62000,62000,197,98,36000,35547,10309,61972,73249
"1590554529","1000","","Aggregated",3.70,3.60,60000,60000,60000,60000,64000,64000,65000,65000,65000,65000,65000,65000,249,136,41000,40859,10309,64718,66164
"1590554531","1000","","Aggregated",7.90,6.70,60000,60000,60000,61000,64000,65000,66000,66000,67000,67000,67000,67000,303,185,44000,44413,10309,66690,56804
"1590554533","1000","","Aggregated",11.00,9.20,60000,60000,60000,61000,64000,65000,67000,68000,69000,69000,69000,69000,350,229,48000,46613,10309,68553,50446
"1590554536","1000","","Aggregated",15.50,13.20,60000,60000,60000,61000,65000,69000,70000,70000,71000,71000,71000,71000,415,280,60000,49071,10309,70775,47478
"1590554538","1000","","Aggregated",21.80,18.10,60000,60000,60000,61000,69000,71000,71000,72000,72000,72000,72000,72000,476,331,60000,50746,10309,72008,44471
"1590554540","1000","","Aggregated",25.90,21.70,60000,60000,60000,61000,70000,72000,74000,74000,75000,75000,75000,75000,540,383,60000,52077,10252,74533,42453
"1590554543","1000","","Aggregated",25.00,20.90,60000,60000,61000,61000,71000,74000,75000,76000,76000,76000,76000,76000,606,439,60000,53137,10142,76156,40248
"1590554545","1000","","Aggregated",27.50,22.70,60000,60000,60000,61000,73000,75000,78000,78000,78000,78000,78000,78000,678,502,60000,54127,10142,78498,37923
"1590554547","1000","","Aggregated",28.10,23.70,60000,60000,60000,61000,75000,78000,80000,80000,80000,80000,80000,80000,736,548,60000,54810,10142,80483,37319
"1590554550","1000","","Aggregated",26.10,22.10,60000,60000,60000,61000,78000,80000,82000,82000,83000,83000,83000,83000,781,586,60000,55203,10142,82603,36482
"1590554552","1000","","Aggregated",26.40,22.40,60000,60000,60000,60000,78000,80000,82000,82000,83000,83000,83000,83000,812,616,60000,55424,10142,82826,35275
"1590554554","1000","","Aggregated",22.40,19.30,60000,60000,60000,60000,79000,80000,82000,83000,85000,85000,85000,85000,873,676,60000,55531,10142,84580,32989
"1590554557","1000","","Aggregated",22.20,19.20,60000,60000,60000,60000,61000,82000,83000,83000,85000,85000,85000,85000,883,686,60000,55523,8593,84580,32617
"1590554559","1000","","Aggregated",18.90,17.10,60000,60000,60000,60000,61000,87000,87000,87000,87000,87000,87000,87000,896,699,60000,55723,8593,87358,32147
"1590554561","1000","","Aggregated",14.80,13.90,60000,60000,60000,60000,61000,87000,87000,87000,87000,87000,87000,87000,923,726,60000,54950,8593,87358,31211
"1590554563","1000","","Aggregated",12.80,12.70,60000,60000,60000,60000,87000,87000,95000,95000,95000,95000,95000,95000,939,740,60000,54888,8593,95378,30992
"1590554566","1000","","Aggregated",10.30,10.30,60000,60000,87000,94000,96000,96000,97000,98000,98000,98000,98000,98000,963,749,60000,55575,8593,98030,32489
"1590554568","1000","","Aggregated",8.00,6.30,60000,60000,87000,95000,96000,97000,98000,99000,99000,99000,99000,99000,989,771,60000,55825,8593,98757,32228
"1590554570","1000","","Aggregated",10.20,8.10,60000,71000,95000,95000,96000,97000,98000,99000,101000,101000,101000,101000,1024,796,60000,56302,8593,100509,32552
"1590554573","1000","","Aggregated",9.70,6.90,60000,79000,94000,95000,96000,97000,98000,99000,101000,101000,101000,101000,1043,809,60000,56291,8593,100509,32799
"1590554575","1000","","Aggregated",11.70,8.00,60000,60000,80000,82000,96000,97000,99000,101000,101000,101000,101000,101000,1055,815,60000,56389,8347,100509,33255
"1590554577","1000","","Aggregated",10.40,7.10,60000,79000,82000,85000,96000,97000,101000,106000,106000,106000,106000,106000,1079,825,60000,56847,8347,106117,34406
"1590554580","471","","Aggregated",10.30,6.90,60000,80000,82000,83000,88000,95000,97000,106000,106000,106000,106000,106000,1098,838,60000,56819,8347,106117,34608
"1590554581","0","","Aggregated",9.60,5.90,78000,82000,85000,86000,95000,98000,99000,106000,106000,106000,106000,106000,1102,838,60000,56937,8347,106117,35011
